Tour,Commonality with MSA heuristic,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,4,17,15,16,20,19,18,13,12,14,33,34,32,31,8,9,11,10,5,7,6,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,23,22,35]",55.81,23.26,29.80,34.88
"[0,4,17,15,16,20,19,18,12,13,14,33,34,32,31,8,9,10,11,6,5,7,29,30,28,27,1,2,3,36,37,38,39,42,40,41,26,25,24,21,23,22,35]",55.81,23.26,29.80,34.88
"[0,4,17,15,16,20,18,19,13,14,12,33,34,31,32,9,8,10,11,5,7,6,30,29,28,27,1,2,3,36,37,39,38,40,42,41,26,25,24,21,23,22,35]",55.81,23.26,29.80,34.88
"[0,4,17,15,16,18,19,20,14,12,13,33,34,32,31,8,9,11,10,7,6,5,30,29,28,27,1,2,3,36,37,39,38,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.80,34.88
"[0,4,15,17,16,18,19,20,13,12,14,34,33,32,31,8,9,11,10,5,7,6,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.80,34.88
"[0,4,15,16,17,20,18,19,13,12,14,34,33,31,32,9,8,10,11,6,5,7,29,30,28,27,2,1,3,36,37,39,38,40,41,42,26,25,24,21,23,22,35]",55.81,23.26,29.80,34.88
"[0,4,15,16,17,18,19,20,13,12,14,33,34,32,31,8,9,11,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,23,22,35]",55.81,23.26,29.80,34.88
"[0,4,17,15,16,18,19,20,12,14,13,34,33,31,32,9,8,11,10,6,5,7,30,29,28,27,2,1,3,36,37,39,38,42,40,41,26,24,25,21,22,23,35]",55.81,25.58,29.80,32.56
"[0,4,16,17,15,18,19,20,14,12,13,34,33,31,32,9,11,10,8,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,25,24,21,22,23,35]",55.81,23.26,29.80,34.88
"[0,4,16,15,17,18,19,20,13,12,14,34,33,32,31,10,8,9,11,5,6,7,30,29,27,28,3,1,2,36,37,39,38,42,40,41,26,24,25,21,22,23,35]",55.81,25.58,29.80,32.56
"[0,4,15,16,17,19,18,20,13,14,12,33,34,31,32,10,8,11,9,7,6,5,29,30,28,27,2,1,3,36,37,39,38,41,40,42,26,25,24,21,23,22,35]",55.81,25.58,29.80,34.88
"[0,4,17,15,16,20,18,19,13,12,14,33,34,32,31,11,9,8,10,6,5,7,29,30,27,28,3,1,2,36,37,39,38,42,41,40,26,25,24,21,22,23,35]",55.81,25.58,29.80,32.56
"[0,4,17,15,16,20,18,19,12,13,14,34,33,31,32,10,8,9,11,5,6,7,30,29,28,27,1,2,3,36,37,38,39,42,41,40,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,15,17,16,19,18,20,14,12,13,33,34,32,31,8,9,11,10,7,6,5,29,30,28,27,1,2,3,36,37,38,39,41,42,40,26,25,24,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,17,19,18,20,16,15,13,12,14,34,33,32,31,8,10,9,11,5,6,7,30,29,27,28,1,2,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,17,16,15,18,19,20,13,12,14,34,33,31,32,8,10,11,9,6,5,7,30,29,28,27,1,3,2,36,37,39,38,40,42,41,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,16,17,15,19,18,20,12,14,13,33,34,32,31,8,9,11,10,7,6,5,30,29,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,16,17,15,18,19,20,14,12,13,34,33,32,31,11,9,10,8,5,7,6,30,29,27,28,2,1,3,36,37,38,39,41,42,40,26,24,25,21,22,23,35]",55.81,23.26,29.75,34.88
"[0,4,16,15,17,20,18,19,12,14,13,34,33,31,32,10,8,9,11,7,6,5,30,29,28,27,1,2,3,36,37,39,38,40,42,41,26,24,25,21,22,23,35]",55.81,23.26,29.75,34.88
"[0,4,16,15,17,20,18,19,12,13,14,34,33,31,32,9,11,8,10,7,6,5,29,30,28,27,3,1,2,36,37,39,38,40,41,42,26,25,24,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,16,15,17,19,18,20,14,12,13,33,34,32,31,10,8,11,9,5,7,6,29,30,28,27,1,2,3,36,37,38,39,41,42,40,26,25,24,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,16,15,17,18,20,19,12,13,14,34,33,31,32,9,11,10,8,6,5,7,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,16,15,17,18,19,20,14,12,13,34,33,32,31,8,11,9,10,6,7,5,30,29,27,28,3,1,2,36,37,38,39,40,41,42,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,16,15,17,18,19,20,12,13,14,34,33,32,31,8,11,9,10,5,6,7,30,29,28,27,3,1,2,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,16,15,17,18,19,20,12,13,14,34,33,31,32,9,8,10,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,15,16,17,20,18,19,14,13,12,34,33,31,32,9,11,8,10,7,5,6,29,30,28,27,1,2,3,36,37,38,39,41,40,42,26,25,24,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,15,16,17,20,18,19,12,13,14,34,33,32,31,8,9,10,11,7,6,5,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,15,16,17,19,20,18,13,12,14,33,34,31,32,11,10,8,9,7,5,6,30,29,28,27,1,2,3,36,37,38,39,41,42,40,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,15,16,17,19,18,20,14,12,13,34,33,32,31,10,11,8,9,5,7,6,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,15,16,17,19,18,20,12,14,13,34,33,32,31,8,9,10,11,6,7,5,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,15,16,17,18,19,20,13,14,12,34,33,32,31,11,10,8,9,7,5,6,29,30,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,17,16,15,20,18,19,13,12,14,33,34,32,31,8,9,10,11,7,5,6,29,30,28,27,3,1,2,36,37,38,39,40,42,41,26,25,24,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,17,16,15,19,18,20,13,12,14,33,34,31,32,9,11,8,10,5,7,6,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,25,24,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,17,16,15,18,19,20,14,12,13,34,33,31,32,8,10,11,9,6,5,7,30,29,28,27,1,2,3,36,37,39,38,42,40,41,26,24,25,21,22,23,35]",55.81,25.58,29.75,34.88
"[0,4,15,17,16,20,19,18,13,12,14,33,34,31,32,9,8,11,10,7,5,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,25,24,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,15,16,17,20,19,18,14,12,13,33,34,32,31,11,9,10,8,7,5,6,29,30,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,23,22,35]",55.81,23.26,29.75,34.88
"[0,4,17,15,16,20,18,19,12,13,14,34,33,32,31,8,10,11,9,5,7,6,30,29,28,27,1,2,3,36,37,38,39,42,41,40,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,16,15,20,18,19,13,12,14,33,34,32,31,8,9,11,10,6,7,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,20,18,19,14,12,13,33,34,32,31,8,9,10,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,42,41,26,25,24,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,20,18,19,12,14,13,34,33,32,31,8,9,11,10,7,6,5,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,20,18,19,12,14,13,34,33,32,31,8,9,11,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,19,20,18,12,13,14,34,33,31,32,9,8,10,11,6,5,7,30,29,27,28,2,1,3,36,37,38,39,42,41,40,26,24,25,21,23,22,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,19,18,20,12,14,13,34,33,32,31,8,9,10,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,19,18,20,12,13,14,34,33,32,31,8,10,9,11,7,5,6,29,30,28,27,1,3,2,36,37,38,39,42,41,40,26,25,24,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,19,18,20,12,13,14,34,33,32,31,8,10,11,9,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,25,24,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,18,19,20,12,13,14,34,33,32,31,8,10,11,9,7,6,5,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,17,15,20,18,19,12,13,14,33,34,32,31,8,9,10,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,17,15,19,20,18,14,12,13,34,33,32,31,8,11,10,9,5,7,6,29,30,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,17,15,19,18,20,14,13,12,34,33,32,31,8,10,11,9,5,6,7,29,30,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,17,15,18,19,20,12,13,14,34,33,32,31,8,9,10,11,6,5,7,29,30,28,27,1,2,3,36,37,38,39,42,40,41,26,25,24,21,23,22,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,20,18,19,17,12,13,14,34,33,32,31,8,10,9,11,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,20,18,19,13,14,12,34,33,32,31,8,11,10,9,5,6,7,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,20,18,19,12,13,14,34,33,32,31,8,9,10,11,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,42,40,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,19,18,20,12,13,14,34,33,32,31,8,11,10,9,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,19,18,20,12,13,14,34,33,32,31,8,10,9,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,19,18,20,12,13,14,34,33,32,31,8,10,11,9,6,7,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,18,19,20,13,12,14,34,33,32,31,8,9,11,10,7,6,5,30,29,28,27,1,3,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,18,19,20,12,14,13,34,33,32,31,8,10,11,9,7,6,5,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,18,19,20,12,13,14,34,33,32,31,8,10,11,9,7,6,5,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,17,16,20,18,19,14,13,12,34,33,32,31,8,10,11,9,5,6,7,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,17,16,20,18,19,14,12,13,34,33,32,31,8,10,11,9,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,17,16,19,18,20,13,14,12,34,33,32,31,8,10,9,11,5,6,7,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,17,16,19,18,20,12,14,13,34,33,32,31,8,9,11,10,7,6,5,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,17,16,19,18,20,12,14,13,34,33,32,31,8,10,11,9,7,6,5,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,17,16,19,18,20,12,13,14,34,33,32,31,8,9,10,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,17,16,18,19,20,13,12,14,34,33,32,31,8,10,9,11,7,6,5,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,18,19,14,12,13,34,33,32,31,8,11,9,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,18,19,13,14,12,34,33,32,31,8,9,11,10,5,6,7,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,18,19,13,12,14,34,33,32,31,8,9,10,11,7,6,5,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,18,19,12,14,13,34,33,32,31,8,10,9,11,7,6,5,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,18,19,12,14,13,34,33,32,31,8,10,11,9,7,6,5,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,18,19,12,13,14,34,33,32,31,8,9,11,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,18,19,12,13,14,34,33,32,31,8,9,11,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,18,19,12,13,14,34,33,32,31,8,10,9,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,19,18,20,14,13,12,34,33,32,31,8,10,9,11,5,7,6,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,19,18,20,14,12,13,34,33,32,31,8,9,11,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,19,18,20,14,12,13,34,33,32,31,8,10,9,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,19,18,20,12,14,13,34,33,32,31,8,10,11,9,6,7,5,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,18,20,19,14,12,13,34,33,32,31,8,11,9,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,16,15,20,19,18,12,13,14,33,34,32,31,8,10,9,11,6,5,7,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,16,15,19,18,20,13,14,12,33,34,31,32,9,11,10,8,6,5,7,30,29,28,27,1,2,3,36,37,39,38,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,16,15,18,20,19,14,13,12,33,34,32,31,10,9,8,11,6,5,7,29,30,28,27,1,3,2,36,37,39,38,42,40,41,26,25,24,21,22,23,35]",55.81,25.58,29.69,34.88
"[0,4,17,15,16,19,20,18,13,12,14,34,33,32,31,8,11,10,9,5,6,7,29,30,28,27,1,2,3,36,37,38,39,41,40,42,26,25,24,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,15,16,18,19,20,12,14,13,34,33,32,31,10,8,11,9,5,6,7,30,29,28,27,2,1,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,20,19,18,14,12,13,33,34,32,31,8,11,9,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,20,19,18,13,12,14,34,33,32,31,8,9,10,11,5,7,6,29,30,28,27,1,2,3,36,37,38,39,41,40,42,26,25,24,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,19,20,18,12,13,14,34,33,32,31,11,8,10,9,5,6,7,30,29,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.69,34.88
"[0,4,16,15,17,18,19,20,13,12,14,34,33,31,32,11,9,8,10,5,6,7,30,29,28,27,3,1,2,36,37,38,39,42,40,41,26,25,24,21,23,22,35]",55.81,23.26,29.69,34.88
"[0,4,15,17,16,18,19,20,13,14,12,33,34,32,31,8,10,9,11,6,7,5,30,29,28,27,3,1,2,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,20,19,18,13,12,14,33,34,32,31,8,9,11,10,7,6,5,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,19,18,20,14,12,13,34,33,32,31,9,8,11,10,7,5,6,30,29,27,28,1,3,2,36,37,38,39,42,40,41,26,25,24,21,23,22,35]",55.81,23.26,29.69,34.88
"[0,4,15,16,17,18,20,19,13,14,12,34,33,32,31,8,9,11,10,6,5,7,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.69,34.88
"[0,4,17,16,15,18,20,19,12,13,14,34,33,31,32,10,8,11,9,7,6,5,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,23,22,35]",55.81,23.26,29.64,34.88
"[0,4,17,16,15,18,19,20,13,12,14,33,34,32,31,10,11,8,9,5,6,7,30,29,28,27,1,2,3,36,37,38,39,41,42,40,26,24,25,21,23,22,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,20,18,19,12,13,14,34,33,32,31,11,8,10,9,7,6,5,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,19,18,20,14,12,13,34,33,32,31,8,9,11,10,6,7,5,30,29,27,28,1,2,3,36,37,38,39,42,41,40,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,17,15,18,20,19,12,13,14,34,33,31,32,10,8,9,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.64,34.88
"[0,4,16,17,15,18,19,20,14,12,13,33,34,31,32,9,8,11,10,7,6,5,30,29,28,27,1,2,3,36,37,38,39,41,42,40,26,24,25,21,23,22,35]",55.81,23.26,29.64,34.88
"[0,4,15,17,16,20,18,19,13,12,14,34,33,32,31,8,9,11,10,7,6,5,30,29,27,28,2,1,3,36,37,38,39,41,42,40,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,18,19,20,16,15,13,12,14,34,33,32,31,10,8,9,11,5,6,7,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,16,15,20,18,19,13,12,14,34,33,31,32,10,8,9,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,16,15,19,18,20,13,12,14,34,33,31,32,9,10,11,8,6,5,7,29,30,28,27,1,3,2,36,37,38,39,42,40,41,26,25,24,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,16,15,19,18,20,12,14,13,34,33,32,31,10,8,11,9,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,16,15,19,18,20,12,14,13,34,33,31,32,9,8,10,11,7,6,5,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,20,19,18,13,14,12,34,33,31,32,9,11,8,10,5,7,6,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,20,19,18,12,14,13,34,33,32,31,11,9,8,10,6,5,7,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,20,19,18,12,14,13,34,33,32,31,11,8,9,10,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,20,19,18,12,13,14,34,33,32,31,8,9,10,11,7,6,5,30,29,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,20,19,18,12,13,14,33,34,32,31,11,8,9,10,7,6,5,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,20,18,19,14,13,12,34,33,32,31,10,8,11,9,5,6,7,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,20,18,19,13,14,12,34,33,32,31,8,9,10,11,5,7,6,30,29,28,27,2,1,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,19,20,18,14,12,13,34,33,32,31,8,11,10,9,7,6,5,30,29,27,28,2,1,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,19,18,20,14,13,12,34,33,32,31,11,10,9,8,6,5,7,29,30,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,19,18,20,12,13,14,33,34,32,31,9,11,10,8,7,6,5,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,18,19,20,14,13,12,34,33,32,31,8,9,11,10,5,7,6,30,29,28,27,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,17,15,16,18,19,20,14,13,12,34,33,32,31,10,11,9,8,6,7,5,29,30,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,23,22,35]",55.81,23.26,29.64,34.88
"[0,4,16,17,15,20,18,19,12,14,13,34,33,32,31,8,10,9,11,7,6,5,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,17,15,18,20,19,12,14,13,34,33,32,31,9,8,10,11,7,5,6,29,30,28,27,1,2,3,36,37,38,39,42,40,41,26,25,24,21,23,22,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,18,19,20,17,12,13,14,34,33,32,31,9,8,10,11,5,7,6,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,20,19,18,14,12,13,33,34,32,31,9,8,10,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,20,19,18,14,12,13,33,34,32,31,8,10,11,9,6,7,5,29,30,28,27,1,2,3,36,37,38,39,42,41,40,26,25,24,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,20,19,18,13,14,12,34,33,32,31,8,11,9,10,5,7,6,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,20,19,18,12,14,13,34,33,32,31,10,8,9,11,5,6,7,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,20,18,19,14,12,13,34,33,31,32,10,9,11,8,7,6,5,30,29,28,27,1,3,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,20,18,19,13,14,12,34,33,32,31,8,10,11,9,6,7,5,30,29,27,28,2,1,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,20,18,19,13,14,12,34,33,32,31,11,8,9,10,5,7,6,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,19,20,18,14,13,12,34,33,31,32,11,8,10,9,5,7,6,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,19,20,18,13,12,14,34,33,31,32,8,9,10,11,6,7,5,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,19,20,18,13,12,14,33,34,32,31,11,8,9,10,7,6,5,30,29,28,27,1,3,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,19,20,18,12,13,14,34,33,32,31,10,8,9,11,5,6,7,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,19,20,18,12,13,14,34,33,31,32,9,8,10,11,7,6,5,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",55.81,23.26,29.64,34.88
"[0,4,16,15,17,19,18,20,12,14,13,34,33,32,31,9,10,8,11,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,25,24,21,22,23,35]",55.81,23.26,29.64,34.88
